feature,importance
close,1.5128611e-06
vpt_ratio,1.4117232e-06
high_change_10d,1.3060148e-06
open,1.2153449e-06
rsi,1.1705466e-06
price_momentum_20,1.1544719e-06
volatility_30d_ma,1.0014935e-06
price_sma_20_distance_ma,9.56695e-07
sma_120_ratio,8.842709e-07
price_sma_5_distance_ma,8.678609e-07
high_change_5d,8.5397056e-07
ema_30_ratio,8.467387e-07
volatility_5d_annualized,8.443065e-07
momentum_20,8.386368e-07
price_change_60d,8.2137615e-07
ema_30_distance,7.9424746e-07
roc_20,7.913073e-07
price_sma_10_distance_ma,7.7586645e-07
price_sma_20_distance,7.704262e-07
sma_20_ratio,7.431229e-07
vpt,7.3362173e-07
sma_100_ratio,7.095475e-07
sma_50_ratio,6.9425835e-07
relative_strength_200,6.9215093e-07
cci,6.893039e-07
price_sma_50_distance,6.8046285e-07
relative_strength,6.5694394e-07
macd_signal,6.351761e-07
price_change_20d,6.326044e-07
momentum_5,6.2443195e-07
sma_10_ratio,6.205252e-07
vwap_ratio,6.203451e-07
ema_60_distance,6.156999e-07
sma_120_distance,6.139304e-07
price_sma_10_distance,6.074619e-07
ema_10_ratio,6.020825e-07
ema_20_ratio,6.0159607e-07
sma_200_ratio,5.969286e-07
momentum_30,5.933945e-07
rsi_ma,5.77585e-07
stoch_k,5.738255e-07
momentum_60,5.612922e-07
volatility_5d,5.440173e-07
price_change_30d,5.3757157e-07
price_change_5d,5.319008e-07
price_channel_position_60,5.2760134e-07
ema_60_ratio,5.124622e-07
ema_50_ratio,5.100899e-07
roc_5,4.8238604e-07
price_momentum_5,4.772468e-07
relative_strength_200_ma,4.5804737e-07
trend_strength_60,4.3262125e-07
price_position_50,4.1007064e-07
volume_std_60,4.0044702e-07
price_channel_position_30,3.6721178e-07
bb_position,3.4967854e-07
stoch_d,3.145294e-07
price_position_10,2.9159378e-07
williams_r,2.5911498e-07
price_position_5,2.3128601e-07
