true_label,pred_prob_0,pred_prob_1,prediction
1,0.86236393,0.1376361,0
0,0.4845723,0.5154277,1
0,0.75582373,0.24417628,0
1,0.03068924,0.96931076,1
0,0.084649384,0.9153506,1
0,0.4241143,0.5758857,1
0,0.73230225,0.26769775,0
1,0.88556415,0.114435874,0
0,0.9249315,0.07506847,0
0,0.910484,0.08951597,0
0,0.9165459,0.08345405,0
0,0.52440214,0.4755979,0
1,0.82296586,0.17703414,0
1,0.82091576,0.17908423,0
1,0.7228212,0.27717882,0
0,0.9059625,0.09403748,0
0,0.7638692,0.23613077,0
1,0.4825974,0.5174026,1
1,0.5843055,0.41569448,0
1,0.97448033,0.025519667,0
1,0.94843864,0.05156138,0
1,0.9885601,0.011439943,0
1,0.98846513,0.011534873,0
0,0.9074423,0.09255771,0
0,0.9885028,0.011497202,0
0,0.9644928,0.035507187,0
0,0.72027194,0.27972806,0
1,0.23181713,0.7681829,1
0,0.71337426,0.28662577,0
0,0.5088451,0.49115494,0
0,0.7986051,0.20139489,0
1,0.87994796,0.12005202,0
1,0.95440114,0.04559889,0
1,0.9946712,0.0053287973,0
1,0.29220223,0.70779777,1
1,0.53674376,0.46325624,0
0,0.6973889,0.3026111,0
0,0.77409637,0.22590363,0
0,0.73406625,0.26593378,0
1,0.9001208,0.09987923,0
0,0.88415736,0.11584265,0
0,0.8473478,0.15265222,0
0,0.44759852,0.5524015,1
0,0.665771,0.33422896,0
0,0.49202788,0.5079721,1
0,0.6810585,0.31894147,0
0,0.6725352,0.3274648,0
0,0.33981514,0.66018486,1
0,0.57002014,0.42997986,0
1,0.2419216,0.7580784,1
0,0.0066000223,0.9934,1
0,0.018075109,0.9819249,1
1,0.008400321,0.9915997,1
0,0.65309894,0.3469011,0
0,0.21424311,0.7857569,1
0,0.30952102,0.690479,1
1,0.85610384,0.14389615,0
1,0.27385288,0.7261471,1
1,0.47599655,0.52400345,1
1,0.6358388,0.3641612,0
1,0.8810749,0.11892511,0
1,0.9465562,0.053443793,0
1,0.1212185,0.8787815,1
1,0.09963298,0.900367,1
1,0.95038927,0.04961071,0
1,0.9108967,0.08910328,0
0,0.95689327,0.043106746,0
0,0.88470507,0.115294926,0
0,0.20532286,0.79467714,1
1,0.047144175,0.9528558,1
0,0.08536875,0.91463125,1
0,0.07325405,0.92674595,1
0,0.1280309,0.8719691,1
0,0.0020493865,0.9979506,1
0,0.010634422,0.9893656,1
0,0.20400941,0.7959906,1
0,0.06557405,0.93442595,1
0,0.066438615,0.9335614,1
0,0.029615521,0.9703845,1
1,0.7332268,0.26677325,0
1,0.026598334,0.97340167,1
1,0.825743,0.174257,0
1,0.6768219,0.3231781,0
0,0.4676047,0.5323953,1
0,0.71177244,0.28822756,0
1,0.9206505,0.07934953,0
1,0.91015905,0.08984093,0
1,0.83599955,0.16400045,0
0,0.6558894,0.34411058,0
1,0.108528376,0.8914716,1
1,0.23191231,0.7680877,1
0,0.52659553,0.47340447,0
0,0.18628174,0.81371826,1
0,0.032512486,0.9674875,1
0,0.014035821,0.9859642,1
0,0.47277933,0.52722067,1
0,0.21353352,0.7864665,1
0,0.11711264,0.88288736,1
1,0.40465242,0.5953476,1
0,0.44031227,0.55968773,1
1,0.56135166,0.43864834,0
1,0.88040495,0.119595036,0
0,0.70925725,0.29074278,0
0,0.7596756,0.24032435,0
0,0.76201767,0.23798232,0
0,0.5226308,0.47736916,0
0,0.68393624,0.31606373,0
1,0.4185971,0.5814029,1
1,0.6056296,0.39437038,0
0,0.42499208,0.5750079,1
0,0.36713815,0.63286185,1
0,0.76160645,0.23839352,0
1,0.4782986,0.5217014,1
1,0.6251574,0.37484258,0
0,0.7576289,0.24237107,0
0,0.6047523,0.39524773,0
0,0.7516386,0.24836142,0
0,0.99162096,0.0083790505,0
1,0.82682544,0.17317457,0
1,0.27240437,0.7275956,1
1,0.44294792,0.5570521,1
1,0.8130808,0.18691918,0
1,0.97516257,0.02483745,0
0,0.99741983,0.0025801433,0
0,0.99551153,0.0044884826,0
0,0.99834126,0.0016587527,0
0,0.6446028,0.35539725,0
0,0.9249783,0.07502168,0
0,0.5355468,0.4644532,0
1,0.48578382,0.5142162,1
1,0.61770546,0.38229454,0
0,0.8778844,0.12211561,0
1,0.9761737,0.023826294,0
0,0.99206316,0.007936848,0
0,0.9986453,0.0013546847,0
0,0.9741851,0.02581489,0
0,0.98784375,0.012156231,0
1,0.8930394,0.10696062,0
1,0.9643931,0.03560693,0
1,0.80909187,0.19090812,0
1,0.9890746,0.010925382,0
0,0.9386185,0.061381545,0
0,0.95968974,0.040310293,0
0,0.9883391,0.011660872,0
1,0.9110971,0.08890289,0
1,0.59659356,0.40340644,0
0,0.97108084,0.028919175,0
1,0.08137792,0.9186221,1
0,0.29233718,0.7076628,1
0,0.12256503,0.87743497,1
0,0.5383364,0.46166357,0
0,0.8019047,0.19809532,0
1,0.76991516,0.23008484,0
1,0.2195071,0.7804929,1
1,0.68392646,0.31607357,0
0,0.86532664,0.13467334,0
0,0.9215344,0.07846561,0
0,0.984633,0.015366979,0
