feature,importance
volume_ratio_60,5.201e-06
vol_mom_interaction_volatility_20d_momentum_5,5.1921784e-06
price_sma_5_distance,5.0834033e-06
vpt_ratio,5.0674635e-06
low_change_3d,4.545954e-06
macd_volume_interaction_volume_ratio_20,4.32388e-06
low_change_2d,4.190143e-06
sma_10_ratio,3.9894417e-06
price_change_10d,3.9784672e-06
high_change_5d,3.9248275e-06
roc_5,3.905021e-06
price_sma_10_distance_ma,3.85711e-06
price_change_3d,3.7628195e-06
rsi_macd_interaction,3.681561e-06
rsi,3.316553e-06
price_volatility_ratio,3.3164856e-06
price_change_30d,3.2584285e-06
price_change_60d,3.0749745e-06
rsi_ma,3.0588976e-06
relative_strength,2.9497535e-06
price_sma_50_distance_ma,2.8752386e-06
relative_strength_200,2.8476827e-06
sma_120_ratio,2.6312357e-06
rsi_neutral,2.5049424e-06
bb_position,2.4525232e-06
volume_std_60,2.3011594e-06
macd_signal,2.0946816e-06
stoch_d,2.056561e-06
price_position_50,1.9325248e-06
price_position_10,1.8941981e-06
rsi_trend_interaction_trend_strength_20,1.8760145e-06
price_position_5,1.8217366e-06
trend_strength_60,1.7648966e-06
sma_cross_20_60,1.3490543e-06
