feature,importance
open,0.03464222596272352
volume_std_60,0.031304804707149816
macd_signal,0.030242751603025465
close,0.029400619261910736
trend_strength_60,0.029001031205515223
momentum_30,0.026332313866641633
rsi_ma,0.02600023607864722
volatility_30d,0.02572596536711596
price_change_60d,0.02502724077771357
price_change_30d,0.024740239920506328
stoch_d,0.024125979136342728
momentum_60,0.023565508562370992
vpt,0.023556873157505456
vpt_ratio,0.02304233847520118
cci,0.022489852197722097
price_sma_5_distance_ma,0.022265659604838565
high_change_5d,0.021340611039010245
price_channel_position_30,0.02070101599198903
price_sma_10_distance_ma,0.02031508895754332
price_position_5,0.020313452269803033
sma_50_ratio,0.019965692369520442
sma_120_distance,0.01994975177602376
sma_200_ratio,0.019811543985052426
price_sma_50_distance,0.01978645787106093
roc_20,0.019563203045375812
sma_100_ratio,0.019098250861465892
price_position_50,0.01884630330288409
relative_strength_200,0.01865740825103791
ema_50_ratio,0.01831577034236878
price_momentum_20,0.01814303536041447
williams_r,0.017739226296199867
sma_120_ratio,0.017707358058447788
bb_position,0.017655820523500218
stoch_k,0.017182758534464136
momentum_20,0.017175223900247314
price_change_20d,0.016972371007784964
price_momentum_5,0.016971421718465125
price_position_10,0.01658734757406435
roc_5,0.016226083015465114
momentum_5,0.015934093009473627
price_change_5d,0.01581798370208328
sma_10_ratio,0.015144480275504012
price_sma_10_distance,0.014382891875450951
rsi,0.014354890272850099
relative_strength,0.013640423888162223
ema_20_ratio,0.013227972184657677
sma_20_ratio,0.013020814839654442
price_sma_20_distance,0.011566388804498345
ema_30_ratio,0.011232451084013167
ema_30_distance,0.01118877412653266
