true_label,pred_prob_0,pred_prob_1,prediction
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
1,1.0,0.0,0.0
0,1.0,0.0,0.0
1,1.0,0.0,0.0
1,0.6357247829437256,0.3642752170562744,0.0
0,0.6283262073993683,0.3716737926006317,0.0
0,0.6229856312274933,0.3770143687725067,0.0
0,0.6163736581802368,0.3836263418197632,0.0
0,0.6082609593868256,0.39173904061317444,0.0
0,0.6021769940853119,0.3978230059146881,0.0
0,0.5963456928730011,0.4036543071269989,0.0
0,0.58772873878479,0.41227126121520996,0.0
1,0.5773549377918243,0.42264506220817566,0.0
0,0.5693241357803345,0.4306758642196655,0.0
1,0.5653334259986877,0.43466657400131226,0.0
1,0.5574655830860138,0.4425344169139862,0.0
0,0.5513163805007935,0.44868361949920654,0.0
0,0.5431545078754425,0.4568454921245575,0.0
0,0.5392319858074188,0.4607680141925812,0.0
0,0.5365612208843231,0.4634387791156769,0.0
0,0.5316994786262512,0.4683005213737488,0.0
1,0.5272079110145569,0.4727920889854431,0.0
1,0.5226203799247742,0.47737962007522583,0.0
0,0.5187947452068329,0.4812052547931671,0.0
0,0.5176633298397064,0.4823366701602936,0.0
0,0.5135582685470581,0.4864417314529419,0.0
1,0.5106495916843414,0.48935040831565857,0.0
1,0.5084136426448822,0.4915863573551178,0.0
0,0.5050383806228638,0.49496161937713623,0.0
0,0.5007860064506531,0.4992139935493469,0.0
0,0.494057297706604,0.505942702293396,1.0
0,0.4869312047958374,0.5130687952041626,1.0
1,0.47961974143981934,0.5203802585601807,1.0
1,0.4728485345840454,0.5271514654159546,1.0
1,0.47009551525115967,0.5299044847488403,1.0
1,0.46848297119140625,0.5315170288085938,1.0
1,0.46950244903564453,0.5304975509643555,1.0
0,0.4711076021194458,0.5288923978805542,1.0
0,0.4752516746520996,0.5247483253479004,1.0
0,0.47879499197006226,0.5212050080299377,1.0
0,0.480191171169281,0.519808828830719,1.0
0,0.48372870683670044,0.5162712931632996,1.0
0,0.4892960786819458,0.5107039213180542,1.0
1,0.4987154006958008,0.5012845993041992,1.0
1,0.49454396963119507,0.5054560303688049,1.0
0,0.4948873519897461,0.5051126480102539,1.0
1,0.49954724311828613,0.5004527568817139,1.0
0,0.5046904683113098,0.4953095316886902,0.0
0,0.4969046711921692,0.5030953288078308,1.0
0,0.49214643239974976,0.5078535676002502,1.0
0,0.49304044246673584,0.5069595575332642,1.0
1,0.49762892723083496,0.502371072769165,1.0
1,0.505182683467865,0.494817316532135,0.0
1,0.49978768825531006,0.5002123117446899,1.0
1,0.4964776635169983,0.5035223364830017,1.0
0,0.5053357779979706,0.4946642220020294,0.0
0,0.5156675577163696,0.48433244228363037,0.0
0,0.5222692787647247,0.47773072123527527,0.0
1,0.5216311812400818,0.4783688187599182,0.0
1,0.5214523077011108,0.47854769229888916,0.0
0,0.5256550014019012,0.47434499859809875,0.0
1,0.5378004610538483,0.46219953894615173,0.0
0,0.5497342646121979,0.4502657353878021,0.0
0,0.5552734732627869,0.44472652673721313,0.0
0,0.5644675493240356,0.43553245067596436,0.0
0,0.5731795430183411,0.42682045698165894,0.0
1,0.5806549787521362,0.41934502124786377,0.0
1,0.5833272039890289,0.41667279601097107,0.0
1,0.5888970494270325,0.41110295057296753,0.0
0,0.5943863391876221,0.40561366081237793,0.0
0,0.5989386141300201,0.40106138586997986,0.0
0,0.6077212393283844,0.3922787606716156,0.0
