feature,selection_score,importance_score,vote_score
sma_50_ratio,1.0,0.046421003,1.0
ema_50_ratio,1.0,0.04199843,1.0
sma_120_ratio,1.0,0.041943546,1.0
momentum_30,1.0,0.041905604,1.0
cci,1.0,0.041686192,1.0
close,1.0,0.03894171,1.0
sma_200_ratio,1.0,0.037992533,1.0
momentum_60,1.0,0.03704511,1.0
vpt_ratio,1.0,0.03643872,1.0
stoch_d,1.0,0.036379207,1.0
trend_strength_60,1.0,0.03558228,1.0
volume_std_60,1.0,0.034605697,1.0
price_sma_10_distance_ma,1.0,0.03395306,1.0
vpt,1.0,0.03283574,1.0
rsi_ma,1.0,0.03234752,1.0
price_sma_20_distance,1.0,0.03078236,1.0
macd_signal,1.0,0.030688604,1.0
price_channel_position_30,1.0,0.028948015,1.0
momentum_20,1.0,0.0279008,1.0
price_position_50,1.0,0.02662407,1.0
sma_100_ratio,1.0,0.024936318,1.0
open,1.0,0.024673343,1.0
high_change_5d,1.0,0.023110757,1.0
williams_r,1.0,0.02223368,1.0
ema_20_ratio,1.0,0.022001619,1.0
price_sma_5_distance_ma,1.0,0.021839283,1.0
volatility_30d_annualized,1.0,0.021149043,1.0
price_position_10,1.0,0.02032332,1.0
bb_position,1.0,0.01960372,1.0
roc_5,1.0,0.019557808,1.0
price_position_5,1.0,0.018207189,1.0
sma_10_ratio,1.0,0.017925173,1.0
ema_30_distance,1.0,0.016963372,1.0
rsi,1.0,0.012455152,1.0
price_change_30d,1.0,0.0,1.0
sma_120_distance,1.0,0.0,1.0
price_change_60d,1.0,0.0,1.0
ema_30_ratio,1.0,0.0,1.0
price_sma_50_distance,1.0,0.0,1.0
relative_strength_200,1.0,0.0,1.0
sma_20_ratio,1.0,0.0,1.0
relative_strength,1.0,0.0,1.0
stoch_k,1.0,0.0,1.0
roc_20,1.0,0.0,1.0
price_momentum_20,1.0,0.0,1.0
price_change_20d,1.0,0.0,1.0
price_change_5d,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
momentum_5,1.0,0.0,1.0
price_sma_10_distance,1.0,0.0,1.0
