feature,importance
future_return_1d,0.26197581735053604
label_1d,0.2513444577460621
label_binary_1d,0.046766847026179156
future_return_3d,0.03747461126492487
future_return_5d,0.012195976259680203
atr,0.010808155652064826
label_3d,0.009258320419487044
volume_ma_5,0.009246382464578397
sma_200_ratio,0.007262901559057038
rsi,0.007249137948177472
volume_sma_20,0.007105215765366455
stoch_d,0.006928275585632632
atr_ratio,0.006568751059867718
sma_200,0.00631084141059888
volatility_10d,0.006025971215415622
price_position_50,0.005897758754020235
high_change_5d,0.005467880398934449
ema_50_ratio,0.005323184206049633
volume_sma_5,0.005084488696525325
macd,0.0048893279743583914
volume,0.0047311069637775115
high_change_10d,0.004693094394491649
daily_return,0.004686071216949997
volume_ma_20,0.004675323357942486
volatility_5d,0.004649359755188022
cci,0.004568634548236297
volume_ratio_5,0.004559510370162385
price_change_2d,0.004523078477969138
price_change,0.004485322488193488
high_change_1d,0.004482973083911408
volatility_20d_annualized,0.004477516658795934
label_5d,0.004367215238105206
bb_upper,0.004308501278100551
label_binary_3d,0.004275838510641663
sma_20_ratio,0.004264355346877857
sma_50_ratio,0.004151040703613765
macd_histogram,0.00414950127195688
bb_width,0.0041370531057109226
volatility_5d_annualized,0.004123968039280086
ema_20_ratio,0.004059909736055831
bb_middle,0.004022956546256961
price_position_20,0.004016837819647501
high_change_3d,0.003951860589135711
volume_change,0.0038779434861888327
volatility_10d_annualized,0.003859021149295405
price_change_3d,0.0038060864672882166
days_since_start,0.0037862806727230964
ema_20,0.0037589626208551787
bb_position,0.0037442573288582535
volatility_20d,0.0037208357910046867
high_change_2d,0.003608642167746609
momentum_5,0.0035803984799614857
ema_5,0.003515295127297294
momentum_10,0.00348972685771539
gap_size,0.0034871603851529508
low_change_1d,0.0034789934565363882
roc_10,0.0034698296395502524
vwap_ratio,0.003423202806052648
sma_50,0.0034094852328028944
price_change_1d,0.003355494961414065
williams_r,0.00335056179214031
macd_signal,0.003321768814099513
open_close_spread,0.003290815573361746
ema_5_ratio,0.0032854057144523037
sma_5_ratio,0.003282288966466802
high_low_spread,0.003233993034074849
price_position_5,0.0032320754628300565
vpt,0.0032177793981153047
low_change_5d,0.003208767912592948
label_binary_5d,0.003137970904003201
open_close_spread_pct,0.0030878099174058747
roc_20,0.00305728140801938
ema_50,0.0030534416672990156
day_of_year,0.0029441677048909726
low_change_2d,0.002920047937469518
volume_ratio_20,0.002901072289877722
open,0.0028580568658133194
roc_5,0.002839288831482751
week_of_year,0.0028129146422971613
price_change_10d,0.002762926901748487
high_low_spread_pct,0.002749272882492679
price_change_5d,0.002745932288492935
ema_10_ratio,0.0027091518495351873
sma_20,0.002700549551801053
low_change_10d,0.0026944391164816154
momentum_20,0.0026929572070219037
sma_10,0.0026920048794666705
sma_5,0.0026843224969803543
trading_day_of_month,0.002656110529623867
close,0.002621484224825243
price_change_pct,0.0025710513891504605
bb_lower,0.0025147938928612246
log_return,0.00248635002387152
vwap,0.0024678067641769703
low_change_3d,0.002455442175461399
sma_10_ratio,0.002359768389247922
ema_10,0.0022649626278508643
price_position_10,0.002145879424570852
day,0.002116797286099861
high,0.0017603451104903774
stoch_k,0.0017026115850912666
low,0.0015617490351213547
day_sin,0.001541794828867471
day_cos,0.0012390034010528457
day_of_week,0.0011854455187953964
month_cos,0.0011737564911631093
month_sin,0.0011344395712571057
year,0.0009480354575155882
month,0.000551812062975965
gap_down,0.0005385255044180791
gap_up,0.0003999010265145915
macd_bearish,0.0002550979501227589
macd_bullish,0.00020911436115064112
rsi_neutral,0.00019671850250459693
is_month_end,0.00018370326083494125
bb_lower_break,0.00013984837524892086
dividends,0.00011677096766409434
quarter,5.387472721264438e-05
rsi_overbought,4.158774636004549e-05
is_year_end,2.1402888222959182e-05
capital gains,0.0
bb_upper_break,0.0
rsi_oversold,0.0
stock splits,0.0
is_quarter_end,0.0
