feature,selection_score,importance_score,vote_score
rsi_ma,1.0,0.0428202860057354,1.0
stoch_d,1.0,0.04096215218305588,1.0
price_change_60d,1.0,0.03932452201843262,1.0
rsi_trend_interaction_trend_strength_20,1.0,0.03693803399801254,1.0
price_sma_50_distance_ma,1.0,0.03682384639978409,1.0
trend_strength_60,1.0,0.036222267895936966,1.0
price_change_30d,1.0,0.0361827127635479,1.0
relative_strength_200,1.0,0.035983044654130936,1.0
price_change_5d,1.0,0.03545602038502693,1.0
rsi,1.0,0.034685198217630386,1.0
low_change_3d,1.0,0.0342395193874836,1.0
rsi_macd_interaction,1.0,0.034205030649900436,1.0
price_change_10d,1.0,0.033251866698265076,1.0
price_sma_10_distance,1.0,0.03302618861198425,1.0
price_position_5,1.0,0.032726675271987915,1.0
macd_signal,1.0,0.03255760297179222,1.0
price_position_50,1.0,0.03133343905210495,1.0
price_sma_10_distance_ma,1.0,0.03093133307993412,1.0
volume_std_60,1.0,0.029945511370897293,1.0
high_change_5d,1.0,0.029101097956299782,1.0
price_sma_5_distance,1.0,0.02842296101152897,1.0
volume_ratio_60,1.0,0.027689814567565918,1.0
price_volatility_ratio,1.0,0.02744237519800663,1.0
bb_position,1.0,0.026659106835722923,1.0
price_change_3d,1.0,0.026331007480621338,1.0
macd_volume_interaction_volume_ratio_20,1.0,0.0260689128190279,1.0
vpt_ratio,1.0,0.025636646896600723,1.0
sma_120_distance,1.0,0.02442714385688305,1.0
price_position_10,1.0,0.024327268823981285,1.0
price_sma_20_distance,1.0,0.023965438827872276,1.0
low_change_2d,1.0,0.023039190098643303,1.0
vol_mom_interaction_volatility_20d_momentum_5,1.0,0.01927376352250576,1.0
sma_cross_20_60,1.0,0.0,1.0
ema_90_ratio,1.0,0.0,1.0
sma_120_ratio,1.0,0.0,1.0
ema_20_ratio,1.0,0.0,1.0
ema_90_distance,1.0,0.0,1.0
price_sma_50_distance,1.0,0.0,1.0
price_channel_position_60,1.0,0.0,1.0
sma_50_ratio,1.0,0.0,1.0
ema_50_ratio,1.0,0.0,1.0
momentum_60,1.0,0.0,1.0
ema_30_ratio,1.0,0.0,1.0
ema_30_distance,1.0,0.0,1.0
relative_strength,1.0,0.0,1.0
sma_20_ratio,1.0,0.0,1.0
cci,1.0,0.0,1.0
momentum_30,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
ema_10_ratio,1.0,0.0,1.0
roc_5,1.0,0.0,1.0
momentum_5,1.0,0.0,1.0
sma_10_ratio,1.0,0.0,1.0
sma_5_ratio,1.0,0.0,1.0
sma_200_ratio,1.0,0.0,1.0
ema_5_ratio,1.0,0.0,1.0
momentum_10,1.0,0.0,1.0
roc_10,1.0,0.0,1.0
price_momentum_10,1.0,0.0,1.0
rsi_neutral,1.0,0.0,1.0
