feature,selection_score,importance_score,vote_score
rsi,1.0,0.048089902848005295,1.0
price_sma_10_distance_ma,1.0,0.04374479874968529,1.0
stoch_d,1.0,0.04351066052913666,1.0
price_change_60d,1.0,0.04342329502105713,1.0
price_sma_50_distance_ma,1.0,0.03879396244883537,1.0
volume_std_60,1.0,0.03843485936522484,1.0
trend_strength_60,1.0,0.03815218806266785,1.0
volume_cv_60,1.0,0.03777032345533371,1.0
rsi_ma,1.0,0.036794763058423996,1.0
relative_strength_200,1.0,0.036434147506952286,1.0
bb_position,1.0,0.034329693764448166,1.0
momentum_20,1.0,0.03425997868180275,1.0
price_change_3d,1.0,0.03373618423938751,1.0
macd_signal,1.0,0.033733878284692764,1.0
price_volatility_ratio,1.0,0.030632220208644867,1.0
relative_strength,1.0,0.030331552028656006,1.0
sma_120_ratio,1.0,0.030099082738161087,1.0
low_change_3d,1.0,0.02874898724257946,1.0
price_sma_10_distance,1.0,0.02814505435526371,1.0
volume_ratio_60,1.0,0.027758270502090454,1.0
price_change_30d,1.0,0.027724966406822205,1.0
low_change_2d,1.0,0.027644742280244827,1.0
macd_histogram,1.0,0.027546251192688942,1.0
price_change_10d,1.0,0.027340302243828773,1.0
sma_5_ratio,1.0,0.02700066566467285,1.0
high_change_5d,1.0,0.02626417577266693,1.0
roc_5,1.0,0.02562299370765686,1.0
price_position_5,1.0,0.025109492242336273,1.0
vpt_ratio,1.0,0.025098634883761406,1.0
price_position_50,1.0,0.02457001619040966,1.0
price_position_10,1.0,0.019154077395796776,1.0
price_sma_20_distance,1.0,0.0,1.0
ema_90_ratio,1.0,0.0,1.0
ema_90_distance,1.0,0.0,1.0
sma_120_distance,1.0,0.0,1.0
ema_20_ratio,1.0,0.0,1.0
price_sma_50_distance,1.0,0.0,1.0
sma_50_ratio,1.0,0.0,1.0
momentum_60,1.0,0.0,1.0
ema_50_ratio,1.0,0.0,1.0
ema_60_ratio,1.0,0.0,1.0
ema_60_distance,1.0,0.0,1.0
ema_30_ratio,1.0,0.0,1.0
ema_30_distance,1.0,0.0,1.0
price_channel_position_60,1.0,0.0,1.0
sma_20_ratio,1.0,0.0,1.0
cci,1.0,0.0,1.0
momentum_30,1.0,0.0,1.0
price_change_5d,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
momentum_5,1.0,0.0,1.0
ema_10_ratio,1.0,0.0,1.0
sma_200_ratio,1.0,0.0,1.0
sma_10_ratio,1.0,0.0,1.0
price_sma_5_distance,1.0,0.0,1.0
ema_5_ratio,1.0,0.0,1.0
price_momentum_10,1.0,0.0,1.0
roc_10,1.0,0.0,1.0
momentum_10,1.0,0.0,1.0
macd_signal_momentum,1.0,0.0,1.0
