feature,selection_score,importance_score,vote_score
ema_20,1.0,0.050626274,1.0
dividends,1.0,0.048759747,1.0
high,1.0,0.033157464,1.0
sma_20,1.0,0.032945953,1.0
ema_10,1.0,0.03148086,1.0
sma_200_ratio,1.0,0.031011011,1.0
bb_width_ratio,1.0,0.03001777,1.0
day_of_year,1.0,0.028983746,1.0
month,1.0,0.028549489,1.0
vwap_ratio,1.0,0.028127348,1.0
volatility_10d_annualized,1.0,0.027984612,1.0
volume_change,1.0,0.026730873,1.0
volume_ma_5,1.0,0.02611289,1.0
low_change_3d,1.0,0.026026554,1.0
volume_ratio_5,1.0,0.025131777,1.0
month_sin,1.0,0.02506852,1.0
volume_ma_20,1.0,0.024108116,1.0
price_sma_10_distance_ma,1.0,0.023939608,1.0
vpt,1.0,0.0239382,1.0
roc_5,1.0,0.02363255,1.0
sma_50,1.0,0.023411093,1.0
macd_signal_momentum,1.0,0.023315635,1.0
sma_10,1.0,0.022895118,1.0
price_sma_20_distance_ma,1.0,0.022747176,1.0
price_sma_5_distance_ma,1.0,0.022724187,1.0
bb_width,1.0,0.022573486,1.0
day_cos,1.0,0.02227494,1.0
low_change_2d,1.0,0.021906804,1.0
bb_upper,1.0,0.02179903,1.0
price_acceleration,1.0,0.021641297,1.0
low_change_5d,1.0,0.021626532,1.0
low,1.0,0.021229621,1.0
atr,1.0,0.020948833,1.0
sma_10_ratio,1.0,0.020352228,1.0
bb_lower,1.0,0.019778004,1.0
sma_5,1.0,0.018635754,1.0
sma_20_ratio,1.0,0.017666051,1.0
close,1.0,0.017420216,1.0
open,1.0,0.011355386,1.0
ema_50,1.0,0.009365171,1.0
stock splits,1.0,0.0,1.0
capital gains,1.0,0.0,1.0
bb_middle,1.0,0.0,1.0
volatility_10d,1.0,0.0,1.0
ema_5,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
momentum_5,1.0,0.0,1.0
macd_histogram,1.0,0.0,1.0
price_change_5d,1.0,0.0,1.0
rsi_oversold,1.0,0.0,1.0
