feature,importance
vpt_ratio,7.3189653e-06
volume_ratio_60,7.0535275e-06
low_change_3d,6.886859e-06
vol_mom_interaction_volatility_20d_momentum_5,6.7634555e-06
low_change_2d,6.6402445e-06
sma_5_ratio,5.352558e-06
high_change_5d,5.304053e-06
macd_volume_interaction_volume_ratio_20,5.1192433e-06
price_sma_10_distance,4.8349134e-06
price_change_3d,4.7569697e-06
price_change_5d,4.617059e-06
price_change_30d,4.2826628e-06
roc_10,4.216381e-06
relative_strength,4.083923e-06
rsi_ma,4.0624664e-06
price_sma_10_distance_ma,3.9601746e-06
price_volatility_ratio,3.7793382e-06
sma_120_ratio,3.7514574e-06
rsi,3.658316e-06
macd_signal,3.6169326e-06
rsi_macd_interaction,3.3217425e-06
bb_position,3.3072313e-06
price_change_60d,3.202033e-06
price_sma_50_distance_ma,2.986698e-06
relative_strength_200,2.8892534e-06
rsi_neutral,2.553806e-06
rsi_trend_interaction_trend_strength_20,2.5389872e-06
stoch_d,2.4792384e-06
price_position_50,2.39986e-06
price_position_10,2.360922e-06
volume_std_60,2.3378038e-06
price_position_5,2.2315292e-06
trend_strength_60,2.1608673e-06
sma_cross_20_60,1.8037226e-06
