feature,importance
rsi_ma,2.0842335e-06
momentum_60,1.7427985e-06
price_sma_10_distance_ma,1.737739e-06
price_change_30d,1.591506e-06
price_momentum_20,1.5845394e-06
ema_50_ratio,1.5425829e-06
price_sma_50_distance,1.5135033e-06
sma_100_ratio,1.5085872e-06
volatility_30d,1.5083724e-06
sma_120_ratio,1.4897581e-06
rsi,1.4808937e-06
price_channel_position_30,1.4319621e-06
ema_30_distance,1.3971741e-06
close,1.3674403e-06
vpt_ratio,1.3547289e-06
ema_20_ratio,1.3338188e-06
ema_30_ratio,1.3293139e-06
trend_strength_60,1.3292483e-06
volatility_30d_annualized,1.320205e-06
vpt,1.3088726e-06
stoch_k,1.3056576e-06
williams_r,1.3051364e-06
price_position_10,1.2816248e-06
price_sma_20_distance,1.2443734e-06
sma_120_distance,1.219823e-06
stoch_d,1.2067129e-06
momentum_20,1.19962e-06
target_confidence,1.1902692e-06
cci,1.185268e-06
price_position_50,1.1837326e-06
open,1.1831162e-06
volume_std_60,1.1687217e-06
sma_20_ratio,1.1558465e-06
momentum_30,1.1554212e-06
sma_10_ratio,1.1485475e-06
macd_signal,1.1468479e-06
momentum_5,1.1433575e-06
price_sma_5_distance_ma,1.1143347e-06
price_change_20d,1.1049091e-06
price_sma_10_distance,1.0888677e-06
roc_5,1.0876137e-06
sma_50_ratio,1.0761343e-06
bb_position,1.0702237e-06
relative_strength,1.0468334e-06
price_momentum_5,1.0192977e-06
roc_20,1.0111139e-06
price_position_5,1.0100907e-06
price_change_5d,9.553092e-07
price_change_60d,9.3542315e-07
high_change_5d,9.1908777e-07
