feature,importance
volatility_30d,1.3839842e-06
price_sma_10_distance_ma,1.2725819e-06
relative_strength,1.2237678e-06
close,1.056369e-06
price_sma_20_distance,1.0266681e-06
price_change_60d,9.662124e-07
open,9.375307e-07
price_change_20d,8.530066e-07
ema_30_ratio,8.4337535e-07
sma_120_distance,8.328457e-07
momentum_20,7.856806e-07
vpt_ratio,7.6300927e-07
cci,7.5062275e-07
sma_100_ratio,7.479605e-07
price_change_30d,7.2624357e-07
volume_std_60,7.140412e-07
momentum_30,7.103587e-07
price_position_50,7.0873654e-07
sma_20_ratio,7.073906e-07
sma_50_ratio,7.037285e-07
ema_30_distance,6.811963e-07
price_sma_10_distance,6.5097964e-07
price_change_5d,6.492015e-07
price_sma_50_distance,6.468998e-07
price_momentum_20,6.2894554e-07
momentum_5,6.0874544e-07
momentum_60,6.0363465e-07
ema_20_ratio,5.828489e-07
high_change_5d,5.812865e-07
price_momentum_5,5.597194e-07
vpt,5.5794914e-07
ema_50_ratio,5.442156e-07
trend_strength_60,5.3967807e-07
roc_5,5.3168816e-07
price_sma_5_distance_ma,5.3152127e-07
stoch_d,5.090528e-07
macd_signal,4.4706135e-07
price_channel_position_30,4.3595648e-07
sma_200_ratio,4.346611e-07
rsi_ma,4.2967133e-07
sma_10_ratio,4.2853276e-07
rsi,4.1985172e-07
sma_120_ratio,4.1729427e-07
roc_20,4.0444397e-07
relative_strength_200,3.6501973e-07
bb_position,2.9367538e-07
price_position_10,2.8931947e-07
stoch_k,2.602143e-07
williams_r,2.186107e-07
price_position_5,1.7861049e-07
