feature,selection_score,importance_score,vote_score
sma_120_distance,1.0,0.046531726,1.0
sma_50_ratio,1.0,0.04247877,1.0
cci,1.0,0.041194487,1.0
close,1.0,0.040335327,1.0
sma_200_ratio,1.0,0.0402818,1.0
trend_strength_60,1.0,0.039092943,1.0
vpt,1.0,0.0382184,1.0
ema_50_ratio,1.0,0.03741304,1.0
momentum_60,1.0,0.035574414,1.0
price_sma_10_distance_ma,1.0,0.035113838,1.0
price_sma_20_distance,1.0,0.035012446,1.0
volume_std_60,1.0,0.034166224,1.0
vpt_ratio,1.0,0.033995602,1.0
rsi_ma,1.0,0.033137962,1.0
stoch_d,1.0,0.032940447,1.0
macd_signal,1.0,0.03201813,1.0
momentum_30,1.0,0.03171127,1.0
price_channel_position_30,1.0,0.030340701,1.0
price_position_50,1.0,0.028919084,1.0
ema_20_ratio,1.0,0.02492567,1.0
roc_20,1.0,0.02424,1.0
sma_100_ratio,1.0,0.023950344,1.0
high_change_5d,1.0,0.023533912,1.0
williams_r,1.0,0.023126306,1.0
bb_position,1.0,0.0227805,1.0
open,1.0,0.022515096,1.0
price_sma_5_distance_ma,1.0,0.022116195,1.0
roc_5,1.0,0.021570005,1.0
volatility_30d_annualized,1.0,0.021526763,1.0
price_position_10,1.0,0.01849679,1.0
price_position_5,1.0,0.017292593,1.0
sma_10_ratio,1.0,0.017289106,1.0
ema_30_distance,1.0,0.017181426,1.0
rsi,1.0,0.010978661,1.0
price_change_30d,1.0,0.0,1.0
sma_120_ratio,1.0,0.0,1.0
price_change_60d,1.0,0.0,1.0
ema_30_ratio,1.0,0.0,1.0
price_sma_50_distance,1.0,0.0,1.0
relative_strength_200,1.0,0.0,1.0
sma_20_ratio,1.0,0.0,1.0
relative_strength,1.0,0.0,1.0
stoch_k,1.0,0.0,1.0
price_change_20d,1.0,0.0,1.0
momentum_20,1.0,0.0,1.0
price_momentum_20,1.0,0.0,1.0
price_change_5d,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
momentum_5,1.0,0.0,1.0
price_sma_10_distance,1.0,0.0,1.0
