feature,importance
vpt_ratio,1.1973557e-05
volume_ratio_60,1.1211678e-05
low_change_3d,1.0007964e-05
vol_mom_interaction_volatility_20d_momentum_5,9.9777435e-06
price_change_3d,9.003169e-06
sma_5_ratio,8.94082e-06
low_change_2d,8.470724e-06
macd_volume_interaction_volume_ratio_20,8.113643e-06
roc_5,8.005319e-06
high_change_5d,7.979581e-06
roc_10,7.8186085e-06
price_sma_10_distance,6.657264e-06
relative_strength,6.318908e-06
rsi,6.0106386e-06
bb_position,5.944807e-06
price_sma_10_distance_ma,5.9056856e-06
price_volatility_ratio,5.830383e-06
price_change_30d,5.4326465e-06
sma_120_distance,5.3367166e-06
price_change_60d,5.100379e-06
rsi_ma,5.0905437e-06
rsi_macd_interaction,5.0363083e-06
relative_strength_200,4.6577125e-06
macd_signal,4.4397098e-06
price_position_50,4.291508e-06
price_sma_50_distance_ma,4.288449e-06
stoch_d,4.2636048e-06
trend_strength_60,4.214281e-06
price_position_5,4.0478694e-06
price_position_10,3.8286657e-06
rsi_trend_interaction_trend_strength_20,3.5395972e-06
volume_std_60,3.403843e-06
sma_cross_20_60,2.3945236e-06
