true_label,pred_prob_0,pred_prob_1,prediction
0,0.99859285,0.00140713,0
0,0.99923277,0.0007672091,0
0,0.98961496,0.01038501,0
1,0.8277451,0.17225489,0
1,0.5183152,0.48168477,0
1,0.0057377815,0.9942622,1
1,0.004118681,0.9958813,1
0,0.9995072,0.00049281283,0
0,0.99983823,0.00016177208,0
1,0.067257166,0.93274283,1
0,0.9911035,0.008896513,0
0,0.99066675,0.009333237,0
0,0.98201096,0.017989045,0
1,0.9384994,0.06150062,0
0,0.999939,6.096907e-05,0
0,0.999989,1.1043314e-05,0
0,0.9999903,9.689469e-06,0
0,0.9936,0.00639996,0
1,0.95616496,0.043835063,0
1,0.7459111,0.2540889,0
1,0.3687734,0.6312266,1
0,0.9978623,0.002137728,0
0,0.87631446,0.123685546,0
1,0.026775658,0.97322434,1
1,0.002021134,0.99797887,1
1,0.0003966689,0.99960333,1
1,0.20548564,0.79451436,1
1,0.35358715,0.64641285,1
1,0.55434185,0.44565815,0
0,0.9999798,2.0189447e-05,0
0,0.9999575,4.247331e-05,0
0,0.991601,0.008399014,0
0,0.9732935,0.026706519,0
1,0.40080196,0.59919804,1
0,0.9859495,0.014050462,0
0,0.96179664,0.038203366,0
0,0.2009865,0.7990135,1
1,0.060926557,0.93907344,1
1,0.020120978,0.979879,1
1,0.046058595,0.9539414,1
1,0.033200383,0.9667996,1
1,0.99770725,0.0022927641,0
0,0.97004396,0.029956015,0
0,0.9728452,0.027154824,0
0,0.9995448,0.00045520978,0
1,0.9665408,0.033459198,0
0,0.99595255,0.0040474506,0
0,0.99941105,0.00058895955,0
0,0.9998069,0.00019314796,0
0,0.58601177,0.4139882,0
0,0.98375064,0.01624934,0
0,0.98520535,0.01479467,0
0,0.99969023,0.00030977328,0
0,0.9997467,0.0002532969,0
0,0.6345303,0.36546966,0
1,0.0025541782,0.9974458,1
0,0.046769798,0.9532302,1
0,0.849351,0.15064901,0
1,0.19370061,0.8062994,1
0,0.9999381,6.19582e-05,0
0,0.9994349,0.0005650831,0
0,0.9959691,0.0040308773,0
1,0.92587525,0.07412473,0
1,0.9102109,0.08978907,0
1,0.45109743,0.5489026,1
1,0.5695089,0.4304911,0
1,0.064888895,0.9351111,1
1,0.04358697,0.95641303,1
1,0.024235666,0.97576433,1
1,0.011222541,0.98877746,1
1,0.74784434,0.25215566,0
1,0.89680946,0.10319052,0
0,0.99968344,0.00031656577,0
0,0.99870545,0.0012945548,0
0,0.9999664,3.3612494e-05,0
1,0.45930153,0.54069847,1
0,0.99913585,0.00086416263,0
0,0.6368886,0.36311135,0
0,0.9942041,0.005795904,0
0,0.8139644,0.18603556,0
0,0.99470216,0.005297812,0
0,0.99998575,1.42379695e-05,0
0,0.91807663,0.081923395,0
0,0.97063357,0.029366454,0
0,0.98289883,0.01710114,0
1,0.0077266097,0.9922734,1
1,0.0070280433,0.99297196,1
1,0.017673194,0.9823268,1
1,0.5715392,0.42846078,0
0,0.9993835,0.0006165069,0
0,0.9869325,0.013067481,0
1,0.13448054,0.86551946,1
1,0.018083513,0.9819165,1
1,0.032601,0.967399,1
0,0.9999741,2.5955202e-05,0
1,0.99318063,0.006819387,0
1,0.74959373,0.25040627,0
0,0.6959241,0.3040759,0
0,0.24793267,0.7520673,1
0,0.99976665,0.00023334444,0
0,0.9881498,0.011850166,0
0,0.99897486,0.0010251431,0
0,0.23504823,0.76495177,1
0,0.34324837,0.65675163,1
1,0.24949765,0.75050235,1
0,0.99831414,0.0016858572,0
1,0.22466207,0.77533793,1
1,0.34042698,0.659573,1
0,0.99996823,3.1783933e-05,0
0,0.9688116,0.031188441,0
0,0.99155754,0.008442434,0
0,0.9999338,6.621252e-05,0
0,0.9603596,0.0396404,0
1,0.23593062,0.7640694,1
1,0.3103783,0.6896217,1
0,0.9984556,0.0015443976,0
0,0.9997491,0.000250873,0
0,0.9996448,0.00035516644,0
1,0.056448996,0.943551,1
1,0.6414242,0.3585758,0
0,0.9990156,0.000984368,0
0,0.9934547,0.006545333,0
0,0.99980605,0.00019397479,0
0,0.99990326,9.6711556e-05,0
1,0.0044122934,0.9955877,1
1,0.00039213896,0.99960786,1
1,0.00053185225,0.99946815,1
1,0.00065404177,0.99934596,1
1,0.07784772,0.9221523,1
0,0.9997854,0.00021458288,0
0,0.9996653,0.00033467845,0
0,0.99569404,0.0043059355,0
0,0.9978959,0.0021041126,0
0,0.9999582,4.1781925e-05,0
0,0.99969804,0.0003019733,0
1,0.009082615,0.9909174,1
1,0.19307286,0.80692714,1
0,0.9666948,0.033305254,0
1,0.9863388,0.013661192,0
0,0.9349524,0.06504764,0
0,0.99864775,0.001352262,0
0,0.959336,0.040664025,0
0,0.998071,0.0019289927,0
1,0.0070953965,0.9929046,1
1,0.120098114,0.8799019,1
1,0.035940766,0.96405923,1
1,0.04600191,0.9539981,1
0,0.9938572,0.0061428007,0
0,0.8281911,0.17180888,0
0,0.99619365,0.0038063289,0
1,0.030150652,0.96984935,1
1,0.0050388575,0.99496114,1
0,0.99895465,0.0010453705,0
1,0.025363684,0.9746363,1
0,0.26711577,0.7328842,1
0,0.9996252,0.00037477846,0
