feature,importance
sma_200_ratio,1.3001727e-06
dividends,1.2924853e-06
day_cos,1.2439176e-06
price_sma_5_distance_ma,1.2065008e-06
high,1.181335e-06
price_sma_20_distance_ma,1.165631e-06
volatility_10d,1.1617095e-06
price_momentum_5,1.1293539e-06
day_of_year,1.0674225e-06
price_change_5d,1.0665486e-06
month,1.0531238e-06
ema_10,1.0383011e-06
macd_signal_momentum,1.0247608e-06
volatility_10d_annualized,1.0071035e-06
price_sma_10_distance_ma,9.984501e-07
close,9.65416e-07
ema_50,9.571653e-07
ema_20,9.510434e-07
sma_10,9.4567196e-07
macd_histogram,9.449759e-07
bb_width_ratio,9.267212e-07
vwap_ratio,9.146952e-07
price_acceleration,9.075909e-07
sma_5,9.067929e-07
capital gains,9.007013e-07
rsi_oversold,8.9375555e-07
bb_width,8.737365e-07
stock splits,8.7064825e-07
volume_ratio_5,8.628567e-07
volume_ma_5,8.6181484e-07
atr,8.5827634e-07
ema_5,8.480971e-07
sma_20_ratio,8.4788707e-07
roc_5,8.442081e-07
low_change_5d,8.330903e-07
open,8.1672755e-07
low_change_3d,8.042933e-07
bb_upper,8.028145e-07
month_sin,7.8484186e-07
vpt,7.727464e-07
bb_lower,7.716862e-07
sma_20,7.684409e-07
sma_50,7.515833e-07
momentum_5,7.4107913e-07
low_change_2d,7.3094395e-07
sma_10_ratio,7.078221e-07
bb_middle,6.7898804e-07
volume_ma_20,6.2281464e-07
low,6.1733675e-07
volume_change,5.4171187e-07
