true_label,pred_prob_0,pred_prob_1,prediction
1,0.70525086,0.2947491,0
0,0.63202393,0.36797607,0
0,0.50616413,0.49383587,0
1,0.35626853,0.6437315,1
0,0.3951348,0.6048652,1
0,0.2742983,0.7257017,1
0,0.5664884,0.43351164,0
1,0.5992609,0.40073907,0
0,0.57813144,0.42186853,0
0,0.67789483,0.3221052,0
0,0.6930272,0.3069728,0
0,0.34458393,0.6554161,1
1,0.55675155,0.44324845,0
1,0.27471608,0.7252839,1
1,0.41052598,0.589474,1
0,0.5091275,0.49087253,0
0,0.44732296,0.55267704,1
1,0.5006769,0.49932316,0
1,0.6353759,0.36462408,0
1,0.8856646,0.11433545,0
1,0.9175689,0.08243107,0
1,0.8599484,0.1400516,0
1,0.76686525,0.23313475,0
0,0.83386624,0.16613373,0
0,0.83657384,0.16342618,0
0,0.6216101,0.3783899,0
0,0.54314005,0.45685992,0
1,0.49109125,0.50890875,1
0,0.48948163,0.5105184,1
0,0.38472766,0.61527234,1
0,0.46738392,0.5326161,1
1,0.6881819,0.3118181,0
1,0.81002736,0.18997265,0
1,0.9589354,0.041064642,0
1,0.671,0.32899997,0
1,0.73368907,0.26631096,0
0,0.85934055,0.14065948,0
0,0.89134425,0.10865577,0
0,0.8398242,0.16017579,0
1,0.7831725,0.21682748,0
0,0.70266485,0.29733518,0
0,0.615731,0.38426903,0
0,0.5172435,0.48275653,0
0,0.64707017,0.3529298,0
0,0.6825085,0.31749147,0
0,0.80096877,0.19903125,0
0,0.75691533,0.24308464,0
0,0.6772027,0.3227973,0
0,0.8025309,0.19746913,0
1,0.51319903,0.48680097,0
0,0.38267887,0.61732113,1
0,0.49256474,0.50743526,1
1,0.1456312,0.8543688,1
0,0.4170338,0.5829662,1
0,0.5068363,0.4931637,0
0,0.45687938,0.5431206,1
1,0.49251652,0.5074835,1
1,0.29503316,0.70496684,1
1,0.39388573,0.60611427,1
1,0.51738685,0.48261315,0
1,0.7699352,0.23006482,0
1,0.7389554,0.2610446,0
1,0.35269523,0.6473048,1
1,0.28656,0.71344,1
1,0.8180622,0.18193781,0
1,0.8739779,0.12602209,0
0,0.88972294,0.11027706,0
0,0.75985944,0.24014057,0
0,0.75149244,0.24850756,0
1,0.34009385,0.65990615,1
0,0.32575154,0.67424846,1
0,0.19136089,0.8086391,1
0,0.19498569,0.8050143,1
0,0.074083626,0.9259164,1
0,0.10635483,0.89364517,1
0,0.18206906,0.81793094,1
0,0.11203349,0.8879665,1
0,0.37153494,0.62846506,1
0,0.4560616,0.5439384,1
1,0.5510031,0.4489969,0
1,0.24035305,0.75964695,1
1,0.6860298,0.31397024,0
1,0.70189166,0.29810834,0
0,0.6425793,0.35742068,0
0,0.7478477,0.25215235,0
1,0.86649334,0.13350666,0
1,0.82967025,0.17032973,0
1,0.59077454,0.4092255,0
0,0.6559614,0.3440386,0
1,0.5378302,0.46216983,0
1,0.6026487,0.39735132,0
0,0.65842235,0.34157768,0
0,0.3205738,0.6794262,1
0,0.20253503,0.79746497,1
0,0.19110548,0.8088945,1
0,0.37405723,0.62594277,1
0,0.52635795,0.47364205,0
0,0.38715124,0.61284876,1
1,0.54974914,0.4502509,0
0,0.73349166,0.26650837,0
1,0.5402925,0.4597075,0
1,0.709993,0.29000697,0
0,0.69258904,0.307411,0
0,0.81450003,0.18549997,0
0,0.8318222,0.1681778,0
0,0.7505842,0.24941581,0
0,0.7913971,0.20860289,0
1,0.7068025,0.2931975,0
1,0.63076484,0.36923516,0
0,0.45751357,0.5424864,1
0,0.5257549,0.47424507,0
0,0.79920787,0.20079212,0
1,0.5957887,0.4042113,0
1,0.44003737,0.55996263,1
0,0.5604693,0.43953067,0
0,0.7370279,0.2629721,0
0,0.35070193,0.6492981,1
0,0.89396286,0.10603717,0
1,0.81208396,0.18791604,0
1,0.38655943,0.6134406,1
1,0.56098986,0.43901017,0
1,0.5813817,0.41861835,0
1,0.7351823,0.26481774,0
0,0.9594267,0.040573303,0
0,0.8881059,0.111894056,0
0,0.7936603,0.2063397,0
0,0.5071716,0.49282843,0
0,0.6892205,0.3107795,0
0,0.72451514,0.27548486,0
1,0.77294296,0.22705702,0
1,0.7728727,0.22712734,0
0,0.8668541,0.13314596,0
1,0.82284415,0.17715584,0
0,0.87648743,0.12351258,0
0,0.9407662,0.059233766,0
0,0.9177041,0.08229591,0
0,0.89229417,0.10770586,0
1,0.801018,0.19898199,0
1,0.90101826,0.09898173,0
1,0.71336865,0.28663132,0
1,0.9024151,0.09758492,0
0,0.67918026,0.32081974,0
0,0.82510227,0.17489772,0
0,0.83541316,0.16458686,0
1,0.5432352,0.4567648,0
1,0.66635776,0.33364224,0
0,0.78533655,0.21466345,0
1,0.23387146,0.76612854,1
0,0.491498,0.508502,1
0,0.5274911,0.47250894,0
0,0.5538875,0.44611248,0
0,0.6826209,0.3173791,0
1,0.7298384,0.27016166,0
1,0.45589858,0.5441014,1
1,0.614796,0.38520402,0
0,0.38425392,0.6157461,1
0,0.8007212,0.19927876,0
0,0.91289747,0.08710251,0
