feature,importance
macd_signal,0.03590121
price_sma_50_distance,0.02783014
sma_20_ratio,0.026946487
momentum_30,0.02670892
vpt_ratio,0.026687272
sma_120_distance,0.025973435
roc_20,0.02574129
price_momentum_20,0.02549865
volatility_30d_annualized,0.024757655
price_position_50,0.024238352
open,0.0241349
sma_200_ratio,0.024102693
price_sma_10_distance,0.023521973
price_change_60d,0.023356225
price_channel_position_30,0.023291778
price_change_30d,0.0232764
momentum_60,0.023169365
volume_std_60,0.023057858
rsi_ma,0.02266565
momentum_20,0.022494586
price_sma_5_distance_ma,0.022469744
cci,0.022101622
close,0.02164554
sma_100_ratio,0.02106238
trend_strength_60,0.020985207
price_position_5,0.020306421
sma_50_ratio,0.019854484
high_change_5d,0.019715788
ema_50_ratio,0.019712556
stoch_d,0.019604154
vpt,0.01959451
relative_strength_200,0.019533921
price_sma_20_distance,0.019450787
roc_5,0.019443575
rsi,0.01924228
williams_r,0.018692974
price_sma_10_distance_ma,0.018619277
bb_position,0.018500004
sma_10_ratio,0.018181574
ema_30_distance,0.018178962
ema_20_ratio,0.01705419
price_position_10,0.016601441
stoch_k,0.016324474
relative_strength,0.013261334
sma_120_ratio,0.013254557
momentum_5,0.012273208
ema_30_ratio,0.010980268
price_change_20d,0.0
price_change_5d,0.0
price_momentum_5,0.0
