feature,selection_score,importance_score,vote_score
target_confidence,1.0,0.57109904,1.0
sma_50_ratio,1.0,0.02795698,1.0
vpt_ratio,1.0,0.02050846,1.0
ema_30_ratio,1.0,0.019748393,1.0
ema_20_ratio,1.0,0.019443145,1.0
price_position_50,1.0,0.018792639,1.0
ema_50_ratio,1.0,0.018086374,1.0
rsi_ma,1.0,0.01807575,1.0
vpt,1.0,0.016449912,1.0
trend_strength_60,1.0,0.01592305,1.0
close,1.0,0.014592466,1.0
williams_r,1.0,0.014563291,1.0
momentum_60,1.0,0.014000399,1.0
cci,1.0,0.013764183,1.0
macd_signal,1.0,0.013172158,1.0
volume_std_60,1.0,0.012996778,1.0
stoch_d,1.0,0.012804101,1.0
volatility_30d,1.0,0.012550235,1.0
price_sma_10_distance_ma,1.0,0.011846484,1.0
open,1.0,0.01127968,1.0
rsi,1.0,0.010721444,1.0
momentum_30,1.0,0.010648006,1.0
roc_5,1.0,0.010527666,1.0
price_position_10,1.0,0.01019183,1.0
sma_120_ratio,1.0,0.009969584,1.0
high_change_5d,1.0,0.009865302,1.0
price_sma_5_distance_ma,1.0,0.00937054,1.0
price_position_5,1.0,0.00886143,1.0
sma_10_ratio,1.0,0.008237633,1.0
bb_position,1.0,0.008127731,1.0
price_sma_20_distance,1.0,0.007391934,1.0
price_channel_position_30,1.0,0.007382643,1.0
sma_100_ratio,1.0,0.0068270722,1.0
momentum_20,1.0,0.0042236573,1.0
price_change_30d,1.0,0.0,1.0
sma_120_distance,1.0,0.0,1.0
ema_30_distance,1.0,0.0,1.0
price_sma_50_distance,1.0,0.0,1.0
price_change_60d,1.0,0.0,1.0
relative_strength,1.0,0.0,1.0
sma_20_ratio,1.0,0.0,1.0
roc_20,1.0,0.0,1.0
stoch_k,1.0,0.0,1.0
price_momentum_20,1.0,0.0,1.0
price_change_20d,1.0,0.0,1.0
momentum_5,1.0,0.0,1.0
price_change_5d,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
price_sma_10_distance,1.0,0.0,1.0
volatility_30d_annualized,1.0,0.0,1.0
