feature,importance
price_sma_20_distance,0.034871068
macd_signal,0.034780886
ema_30_distance,0.030718274
sma_50_ratio,0.029982448
price_change_20d,0.02960807
price_change_60d,0.029045448
relative_strength_200,0.027018992
momentum_30,0.025620034
rsi_ma,0.024342794
momentum_20,0.02403508
vpt_ratio,0.023847578
sma_120_ratio,0.02350032
volume_std_60,0.02314308
momentum_60,0.02279865
price_channel_position_30,0.022718681
open,0.022591343
close,0.022245135
price_momentum_20,0.021995373
volatility_30d_annualized,0.021910813
ema_50_ratio,0.021339951
sma_100_ratio,0.021306967
price_position_50,0.021100508
price_sma_5_distance_ma,0.019832432
cci,0.019818544
trend_strength_60,0.019775283
price_position_5,0.01954114
vpt,0.019534824
price_sma_50_distance,0.01937791
relative_strength,0.019269511
sma_200_ratio,0.019196423
ema_30_ratio,0.019129485
williams_r,0.01904302
high_change_5d,0.018843846
rsi,0.018827422
roc_5,0.01879158
price_sma_10_distance_ma,0.01873187
stoch_d,0.018648338
price_sma_10_distance,0.017583754
price_change_30d,0.017492436
sma_20_ratio,0.017055176
bb_position,0.016278252
ema_20_ratio,0.016213737
sma_10_ratio,0.0148228705
sma_120_distance,0.01442957
price_position_10,0.014040691
momentum_5,0.013561959
stoch_k,0.01163839
roc_20,0.0
price_change_5d,0.0
price_momentum_5,0.0
