feature,importance
price_change_5d,0.04406915
low,0.032040495
atr,0.029070763
high,0.028195493
ema_20,0.027561352
bb_middle,0.026453707
month,0.025324916
close,0.024407744
sma_10_ratio,0.0243771
open,0.023416644
ema_5,0.023033937
sma_20,0.02300764
volatility_10d,0.023000922
low_change_5d,0.022779003
price_momentum_5,0.022555899
vpt,0.022338105
sma_5,0.022304188
price_sma_20_distance_ma,0.022294411
momentum_5,0.021875637
sma_50,0.021748902
volatility_10d_annualized,0.021475885
sma_20_ratio,0.02147338
volume_ma_5,0.021346197
vwap_ratio,0.02132333
ema_50,0.021092659
price_acceleration,0.02108053
volume_ratio_5,0.020955665
day_of_year,0.02046002
low_change_3d,0.019838607
price_sma_5_distance_ma,0.019790633
price_sma_10_distance_ma,0.019767802
month_sin,0.019764332
macd_signal_momentum,0.019631311
low_change_2d,0.019593958
volume_change,0.019486627
volume_ma_20,0.019454878
sma_10,0.019048503
sma_200_ratio,0.019038072
bb_width,0.0188163
bb_width_ratio,0.018738978
ema_10,0.018618822
macd_histogram,0.01817076
bb_upper,0.017760484
day_cos,0.01770983
bb_lower,0.015706379
capital gains,0.0
stock splits,0.0
roc_5,0.0
dividends,0.0
rsi_oversold,0.0
