feature,selection_score,importance_score,vote_score
cci,1.0,0.037588924,1.0
vpt_ratio,1.0,0.035888806,1.0
close,1.0,0.035721857,1.0
vwap_ratio,1.0,0.035416536,1.0
bb_position,1.0,0.03425382,1.0
ema_50_ratio,1.0,0.033895195,1.0
sma_200_ratio,1.0,0.033887736,1.0
sma_50_ratio,1.0,0.033339716,1.0
trend_strength_60,1.0,0.029606568,1.0
momentum_60,1.0,0.02807848,1.0
rsi_ma,1.0,0.027945038,1.0
volume_std_60,1.0,0.027782962,1.0
sma_120_ratio,1.0,0.027753755,1.0
sma_100_ratio,1.0,0.026697788,1.0
price_channel_position_60,1.0,0.025486257,1.0
price_sma_5_distance_ma,1.0,0.025472915,1.0
roc_20,1.0,0.025036559,1.0
price_channel_position_30,1.0,0.024177898,1.0
rsi,1.0,0.023861807,1.0
ema_60_distance,1.0,0.023239281,1.0
price_sma_10_distance_ma,1.0,0.023141367,1.0
sma_20_ratio,1.0,0.022920337,1.0
stoch_d,1.0,0.022578126,1.0
momentum_30,1.0,0.021419324,1.0
macd_signal,1.0,0.021217518,1.0
volatility_30d_ma,1.0,0.020636894,1.0
vpt,1.0,0.019734934,1.0
price_position_50,1.0,0.019353654,1.0
price_sma_20_distance_ma,1.0,0.01911884,1.0
relative_strength_200_ma,1.0,0.019062072,1.0
williams_r,1.0,0.018253777,1.0
ema_30_distance,1.0,0.017790355,1.0
high_change_5d,1.0,0.017617937,1.0
sma_10_ratio,1.0,0.017385265,1.0
price_position_10,1.0,0.017147304,1.0
high_change_10d,1.0,0.017050333,1.0
ema_20_ratio,1.0,0.016845224,1.0
volatility_5d_annualized,1.0,0.016717246,1.0
open,1.0,0.016202925,1.0
momentum_5,1.0,0.014720802,1.0
price_position_5,1.0,0.013517538,1.0
ema_10_ratio,1.0,0.01243635,1.0
price_change_60d,1.0,0.0,1.0
price_sma_50_distance,1.0,0.0,1.0
price_sma_20_distance,1.0,0.0,1.0
relative_strength,1.0,0.0,1.0
sma_120_distance,1.0,0.0,1.0
price_change_30d,1.0,0.0,1.0
ema_30_ratio,1.0,0.0,1.0
ema_60_ratio,1.0,0.0,1.0
relative_strength_200,1.0,0.0,1.0
price_change_20d,1.0,0.0,1.0
stoch_k,1.0,0.0,1.0
momentum_20,1.0,0.0,1.0
price_momentum_20,1.0,0.0,1.0
roc_5,1.0,0.0,1.0
price_sma_10_distance,1.0,0.0,1.0
price_change_5d,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
volatility_5d,1.0,0.0,1.0
