feature,importance
macd_signal,0.034929138
roc_20,0.029508293
sma_120_ratio,0.026113294
momentum_20,0.025706612
open,0.025623199
price_channel_position_30,0.025180368
volume_std_60,0.024243686
price_change_30d,0.024240239
vpt_ratio,0.02407312
price_momentum_20,0.023865683
price_sma_50_distance,0.023593577
rsi_ma,0.023350054
momentum_30,0.023196831
sma_200_ratio,0.02265408
ema_50_ratio,0.022384278
momentum_5,0.022175368
relative_strength_200,0.021976877
relative_strength,0.02171683
price_sma_5_distance_ma,0.02140061
close,0.02138283
momentum_60,0.021272566
sma_120_distance,0.021214437
volatility_30d,0.021210603
price_change_60d,0.020810463
sma_50_ratio,0.02044407
cci,0.019917805
trend_strength_60,0.019847354
sma_100_ratio,0.019035473
price_sma_10_distance_ma,0.01842548
price_position_5,0.018352496
high_change_5d,0.018072926
price_position_50,0.017990127
stoch_k,0.017944954
vpt,0.017426679
rsi,0.017295968
stoch_d,0.017265966
ema_20_ratio,0.017186448
ema_30_ratio,0.017094783
sma_10_ratio,0.017072493
bb_position,0.016986273
price_sma_10_distance,0.016749697
price_momentum_5,0.016448256
price_change_20d,0.016253265
sma_20_ratio,0.01594029
price_position_10,0.015673406
williams_r,0.014760748
price_change_5d,0.0142668625
price_sma_20_distance,0.01257421
ema_30_distance,0.012366592
roc_5,0.0027843644
