true_label,pred_prob_0,pred_prob_1,prediction
1,0.5063161145007643,0.49368388549923564,0
0,0.5003602619382197,0.4996397380617803,0
0,0.4211518778046656,0.5788481221953344,1
1,0.3452342822706922,0.6547657177293079,1
0,0.40218282127171145,0.5978171787282887,1
0,0.4091009266397324,0.5908990733602674,1
0,0.46885072686528906,0.5311492731347108,1
1,0.49723607452042207,0.502763925479578,1
0,0.502390828180481,0.4976091718195191,0
0,0.5205554354676232,0.47944456453237694,0
0,0.5603184932327604,0.4396815067672401,0
0,0.4471075692902737,0.5528924307097265,1
1,0.4506364211041411,0.5493635788958587,1
1,0.4702683427211011,0.5297316572788986,1
1,0.5176554329080941,0.4823445670919059,0
0,0.6451900391389526,0.35480996086104755,0
0,0.5073173145177624,0.4926826854822376,0
1,0.6042664219098618,0.39573357809013826,0
1,0.6398617707952857,0.3601382292047141,0
1,0.7259014648529731,0.2740985351470271,0
1,0.7697701221977572,0.23022987780224308,0
1,0.7623355830298085,0.23766441697019217,0
1,0.7858678393057338,0.21413216069426658,0
0,0.8022281023756958,0.19777189762430425,0
0,0.8253618705698916,0.1746381294301084,0
0,0.6661699340053884,0.33383006599461174,0
0,0.5997578061792727,0.4002421938207273,0
1,0.5120612987951061,0.48793870120489385,0
0,0.4977642370443283,0.5022357629556717,1
0,0.48810953420747316,0.5118904657925266,1
0,0.5764815774941208,0.4235184225058793,0
1,0.5677197300008145,0.4322802699991855,0
1,0.6917595223942903,0.3082404776057104,0
1,0.744218187628838,0.25578181237116204,0
1,0.6790297256156304,0.3209702743843699,0
1,0.5534143244224571,0.44658567557754275,0
0,0.6624986672710392,0.33750133272896116,0
0,0.8015317601969048,0.19846823980309553,0
0,0.7707183025702495,0.22928169742975077,0
1,0.6329534644865037,0.36704653551349686,0
0,0.5599234843430001,0.4400765156569999,0
0,0.5039544676518037,0.49604553234819615,0
0,0.4834680345834531,0.5165319654165469,1
0,0.5974419383111348,0.402558061688865,0
0,0.6966653566187029,0.30333464338129695,0
0,0.7377697401927933,0.2622302598072067,0
0,0.7268174212707981,0.27318257872920176,0
0,0.7117534460315185,0.28824655396848153,0
0,0.6701613481675753,0.3298386518324252,0
1,0.5232978311862847,0.4767021688137153,0
0,0.4936623524099144,0.5063376475900855,1
0,0.5683958418862425,0.4316041581137579,0
1,0.48746516033742665,0.5125348396625733,1
0,0.6213106156823607,0.37868938431763977,0
0,0.5138613371132935,0.48613866288670643,0
0,0.49030970691378567,0.5096902930862143,1
1,0.5379750736963641,0.462024926303636,0
1,0.38002024678293306,0.6199797532170672,1
1,0.37611067854822966,0.6238893214517706,1
1,0.5970675372649555,0.40293246273504474,0
1,0.6811359298845056,0.31886407011549445,0
1,0.663170187836343,0.33682981216365737,0
1,0.5451621052469465,0.45483789475305336,0
1,0.49181849604553135,0.5081815039544687,1
1,0.6208926542109316,0.37910734578906863,0
1,0.6041360782158331,0.3958639217841671,0
0,0.6997154670509341,0.30028453294906615,0
0,0.6484723910944478,0.35152760890555235,0
0,0.6299213572973675,0.3700786427026327,0
1,0.4589906774790544,0.5410093225209456,1
0,0.37793605816806597,0.6220639418319339,1
0,0.33495368786672775,0.6650463121332718,1
0,0.3825529358154305,0.6174470641845689,1
0,0.26206939171467963,0.7379306082853195,1
0,0.30476208313845243,0.6952379168615471,1
0,0.34747841596723744,0.6525215840327621,1
0,0.34831202367205905,0.6516879763279405,1
0,0.4142191137793838,0.5857808862206157,1
0,0.4501699228603113,0.5498300771396886,1
1,0.5812278967016385,0.41877210329836145,0
1,0.3811155372695265,0.6188844627304735,1
1,0.5056735539059826,0.4943264460940174,0
1,0.5696715986264593,0.43032840137354084,0
0,0.5754507523805503,0.42454924761944984,0
0,0.6532264128116131,0.3467735871883867,0
1,0.6200293545332074,0.37997064546679293,0
1,0.5991418155677822,0.400858184432218,0
1,0.5112226158461094,0.4887773841538906,0
0,0.5148632376428003,0.4851367623571998,0
1,0.5136483459095885,0.4863516540904115,0
1,0.49237750950493375,0.507622490495066,1
0,0.4855567888498577,0.5144432111501421,1
0,0.3624558725249088,0.6375441274750914,1
0,0.3892509785497744,0.6107490214502257,1
0,0.35111658942444357,0.6488834105755564,1
0,0.48338737767198653,0.5166126223280136,1
0,0.4148989678417501,0.5851010321582495,1
0,0.460503870853076,0.5394961291469237,1
1,0.4825070439737122,0.5174929560262876,1
0,0.5454625016023263,0.4545374983976739,0
1,0.5485030636587761,0.451496936341224,0
1,0.5917758580948324,0.4082241419051684,0
0,0.6420779373818509,0.35792206261814913,0
0,0.6422544585782222,0.3577455414217775,0
0,0.6583824858836196,0.34161751411638,0
0,0.6303602590823262,0.36963974091767393,0
0,0.6015055765290177,0.398494423470982,0
1,0.5592166464632934,0.44078335353670656,0
1,0.5255086881482125,0.47449131185178767,0
0,0.5683932715440977,0.43160672845590237,0
0,0.5145895898492943,0.4854104101507058,0
0,0.6539268578278784,0.34607314217212165,0
1,0.5679025288110658,0.4320974711889338,0
1,0.5869317175812039,0.413068282418796,0
0,0.5660396756694902,0.43396032433050985,0
0,0.6117525202177865,0.3882474797822135,0
0,0.641850184538455,0.3581498154615449,0
0,0.7422335470871442,0.25776645291285594,0
1,0.7410694925760165,0.2589305074239834,0
1,0.6083792634906597,0.39162073650934076,0
1,0.5817964160924923,0.4182035839075076,0
1,0.5864924344210203,0.41350756557898,0
1,0.7681246449178964,0.2318753550821038,0
0,0.7595190288916448,0.24048097110835573,0
0,0.7259335009248695,0.27406649907513075,0
0,0.6536778633577837,0.3463221366422165,0
0,0.5866810581543852,0.41331894184561474,0
0,0.6118210515336874,0.38817894846631235,0
0,0.6310511967564841,0.3689488032435156,0
1,0.6136568258301018,0.3863431741698983,0
1,0.6261102213244263,0.37388977867557355,0
0,0.6432308351714271,0.3567691648285732,0
1,0.7132176948983973,0.2867823051016028,0
0,0.7254684345683076,0.2745315654316924,0
0,0.7427211768792312,0.25727882312076944,0
0,0.7339445651492119,0.2660554348507888,0
0,0.734349745790349,0.26565025420965127,0
1,0.7296762300272622,0.27032376997273844,0
1,0.710353073447327,0.28964692655267305,0
1,0.6451794122591032,0.3548205877408964,0
1,0.7212789322363231,0.2787210677636768,0
0,0.6907698632496801,0.30923013675032,0
0,0.7074998580095702,0.2925001419904297,0
0,0.712321192156597,0.2876788078434032,0
1,0.5825143004255302,0.41748569957446957,0
1,0.6304189777733636,0.3695810222266365,0
0,0.6667026436168507,0.3332973563831494,0
1,0.5170479589100729,0.4829520410899271,0
0,0.6236058451551674,0.37639415484483235,0
0,0.6320057054318255,0.3679942945681746,0
0,0.6248426857821624,0.37515731421783743,0
0,0.6292169792024592,0.37078302079754055,0
1,0.6685610513253561,0.3314389486746434,0
1,0.6536518970227605,0.34634810297723945,0
1,0.6263681996312908,0.37363180036870947,0
0,0.6076442837886175,0.392355716211383,0
0,0.6587958449161542,0.3412041550838465,0
0,0.728774656055214,0.27122534394478665,0
