feature,importance
open,2.7194253e-06
roc_20,2.6631362e-06
price_sma_50_distance,2.373779e-06
relative_strength,2.362368e-06
momentum_20,2.3369973e-06
close,2.3321033e-06
momentum_5,2.3041034e-06
price_change_5d,2.209888e-06
price_change_20d,2.1907965e-06
price_sma_10_distance_ma,2.1527856e-06
high_change_5d,2.142276e-06
vpt_ratio,2.0352536e-06
price_momentum_5,1.9673541e-06
sma_20_ratio,1.9189233e-06
price_sma_5_distance_ma,1.8698092e-06
price_momentum_20,1.7850989e-06
momentum_60,1.6731906e-06
momentum_30,1.6253057e-06
price_change_30d,1.535389e-06
sma_200_ratio,1.4796027e-06
ema_30_distance,1.4667497e-06
price_sma_10_distance,1.433625e-06
relative_strength_200,1.4323007e-06
sma_120_ratio,1.416781e-06
volatility_30d_annualized,1.3754615e-06
price_sma_20_distance,1.3427499e-06
ema_30_ratio,1.28683e-06
sma_120_distance,1.2506767e-06
roc_5,1.2270984e-06
trend_strength_60,1.2091969e-06
macd_signal,1.1723786e-06
sma_100_ratio,1.1520405e-06
rsi_ma,1.0802322e-06
rsi,1.0739018e-06
cci,1.0683225e-06
price_change_60d,1.0320077e-06
bb_position,1.0235836e-06
ema_50_ratio,1.0100374e-06
volume_std_60,8.9699336e-07
ema_20_ratio,8.618567e-07
vpt,8.556393e-07
price_position_50,8.5113044e-07
sma_10_ratio,7.889886e-07
sma_50_ratio,7.67248e-07
stoch_k,6.998315e-07
williams_r,6.930423e-07
stoch_d,6.4461716e-07
price_position_10,6.299854e-07
price_channel_position_30,6.1097796e-07
price_position_5,5.92282e-07
