feature,selection_score,importance_score,vote_score
ema_20,1.0,0.07438285,1.0
high,1.0,0.042809263,1.0
dividends,1.0,0.0323936,1.0
sma_20,1.0,0.03215555,1.0
vwap_ratio,1.0,0.027640633,1.0
volatility_10d,1.0,0.027252657,1.0
sma_200_ratio,1.0,0.026452785,1.0
month,1.0,0.025703048,1.0
sma_5,1.0,0.02551047,1.0
volume_change,1.0,0.025194595,1.0
volume_ma_5,1.0,0.024971494,1.0
momentum_5,1.0,0.024699759,1.0
day_of_year,1.0,0.024665413,1.0
price_sma_10_distance_ma,1.0,0.02464173,1.0
vpt,1.0,0.0243948,1.0
volume_ratio_5,1.0,0.024298262,1.0
ema_5,1.0,0.024127388,1.0
low,1.0,0.023509845,1.0
low_change_3d,1.0,0.023424415,1.0
bb_width_ratio,1.0,0.023412213,1.0
price_acceleration,1.0,0.02281927,1.0
ema_10,1.0,0.022304226,1.0
macd_signal_momentum,1.0,0.022086293,1.0
bb_width,1.0,0.02202868,1.0
atr,1.0,0.021818677,1.0
low_change_2d,1.0,0.021162845,1.0
sma_50,1.0,0.02115515,1.0
volume_ma_20,1.0,0.02099855,1.0
price_sma_5_distance_ma,1.0,0.020861544,1.0
sma_20_ratio,1.0,0.02064265,1.0
bb_lower,1.0,0.020029984,1.0
day_cos,1.0,0.019527992,1.0
low_change_5d,1.0,0.01940969,1.0
close,1.0,0.018849883,1.0
open,1.0,0.018618902,1.0
bb_upper,1.0,0.018569516,1.0
month_sin,1.0,0.018417932,1.0
sma_10_ratio,1.0,0.01811053,1.0
sma_10,1.0,0.01798243,1.0
price_sma_20_distance_ma,1.0,0.01743752,1.0
ema_50,1.0,0.015526912,1.0
capital gains,1.0,0.0,1.0
bb_middle,1.0,0.0,1.0
volatility_10d_annualized,1.0,0.0,1.0
stock splits,1.0,0.0,1.0
price_change_5d,1.0,0.0,1.0
roc_5,1.0,0.0,1.0
macd_histogram,1.0,0.0,1.0
price_momentum_5,1.0,0.0,1.0
rsi_oversold,1.0,0.0,1.0
