feature,importance
momentum_5,0.059644207
ema_20,0.04145947
high,0.033750612
atr,0.033274993
sma_20,0.028201371
ema_10,0.028081078
vpt,0.026778495
volatility_10d_annualized,0.0261593
volatility_10d,0.025675178
sma_10_ratio,0.02556685
volume_ratio_5,0.025111465
roc_5,0.024979202
macd_signal_momentum,0.024953617
vwap_ratio,0.024591561
day_of_year,0.023848921
price_sma_5_distance_ma,0.02380117
low_change_3d,0.023620233
bb_lower,0.023526685
low_change_5d,0.023408547
sma_50,0.022649085
bb_width_ratio,0.02201233
ema_5,0.021885084
bb_upper,0.021642966
price_sma_20_distance_ma,0.020968245
price_acceleration,0.020820724
ema_50,0.019909859
low_change_2d,0.019826671
bb_width,0.019673634
volume_ma_20,0.019521028
price_sma_10_distance_ma,0.019357307
open,0.019249724
close,0.018667014
volume_change,0.018581131
sma_20_ratio,0.018179944
volume_ma_5,0.017748995
day_cos,0.017495858
month_sin,0.017452149
sma_10,0.016750779
low,0.016735433
sma_200_ratio,0.015330965
sma_5,0.013182935
month,0.010422013
price_momentum_5,0.01002926
macd_histogram,0.008323792
bb_middle,0.0071500693
capital gains,0.0
stock splits,0.0
price_change_5d,0.0
dividends,0.0
rsi_oversold,0.0
